terms,estimate_value,,,true_value,,
R,2.13E-08,4.48E-05,-1.73E-06,1.10E+00,,
S,2.28E-05,0.048414765,-0.001859272,,2,
M,1.60E-06,0.0033249,-0.000130225,,,1.1
R2,2.20E-07,0.000467633,-1.79E-05,-1.10E-06,,
S2,-3.26E-07,-0.000541904,4.01E-05,,-2.00E-06,
M2,1.45E-10,-3.11E-08,1.17E-06,,,-1.10E-06
RS,0.000145501,0.312670684,-0.011853134,-1.10E-06,-1.20E-05,1.00E-05
RM,-6.52E-08,-5.55E-05,5.64E-07,-1.10E-06,,-1.10E-06
SM,-5.02E-08,-0.00013205,3.20E-05,,-1.20E-05,8.90E-06
R3,1.19E-06,0.002572395,-9.74E-05,,,
R2S,-7.64E-10,-1.07E-06,1.36E-07,,,
R2M,6.42E-09,1.22E-05,-2.46E-06,,,
S2R,2.40E-05,0.038418746,-0.00319424,,,
S3,2.24E-14,2.69E-11,-5.06E-12,,,
S2M,-2.22E-13,-7.47E-10,3.28E-10,,,
M2R,-2.86E-05,-0.041679486,0.001318265,,,
M2S,1.37E-13,1.67E-10,1.05E-11,,,
M3,-3.43E-13,-8.95E-10,3.12E-10,,,
